sensor_id_public,deployment_public,floor_public,zone_public
A001,Deployment_A,Main_Floor_A,A_Zone_001
A002,Deployment_A,Main_Floor_A,A_Zone_002
A003,Deployment_A,Main_Floor_A,A_Zone_003
A004,Deployment_A,Main_Floor_A,A_Zone_004
A005,Deployment_A,Main_Floor_A,A_Zone_005
A006,Deployment_A,Main_Floor_A,A_Zone_006
A007,Deployment_A,Main_Floor_A,A_Zone_007
A008,Deployment_A,Main_Floor_A,A_Zone_008
A009,Deployment_A,Main_Floor_A,A_Zone_009
A010,Deployment_A,Main_Floor_B,A_Zone_010
A011,Deployment_A,Main_Floor_B,A_Zone_011
A012,Deployment_A,Main_Floor_B,A_Zone_012
A013,Deployment_A,Main_Floor_B,A_Zone_013
A014,Deployment_A,Main_Floor_B,A_Zone_014
A015,Deployment_A,Main_Floor_B,A_Zone_015
A016,Deployment_A,Main_Floor_B,A_Zone_016
A017,Deployment_A,Main_Floor_B,A_Zone_017
A018,Deployment_A,Main_Floor_B,A_Zone_018
A019,Deployment_A,Main_Floor_B,A_Zone_019
A020,Deployment_A,Main_Floor_B,A_Zone_020
A021,Deployment_A,Main_Floor_C,A_Zone_021
A022,Deployment_A,Main_Floor_C,A_Zone_022
A023,Deployment_A,Main_Floor_C,A_Zone_023
A024,Deployment_A,Main_Floor_C,A_Zone_024
A025,Deployment_A,Main_Floor_C,A_Zone_025
A026,Deployment_A,Main_Floor_C,A_Zone_026
A027,Deployment_A,Main_Floor_C,A_Zone_027
A028,Deployment_A,Main_Floor_C,A_Zone_028
A029,Deployment_A,Main_Floor_C,A_Zone_029
A030,Deployment_A,Main_Floor_C,A_Zone_030
A031,Deployment_A,Main_Floor_C,A_Zone_031
A032,Deployment_A,Main_Floor_D,A_Zone_032
A033,Deployment_A,Main_Floor_D,A_Zone_033
A034,Deployment_A,Main_Floor_D,A_Zone_034
A035,Deployment_A,Main_Floor_D,A_Zone_035
A036,Deployment_A,Main_Floor_D,A_Zone_036
A037,Deployment_A,Main_Floor_D,A_Zone_037
A038,Deployment_A,Main_Floor_D,A_Zone_038
A039,Deployment_A,Main_Floor_D,A_Zone_039
A040,Deployment_A,Main_Floor_D,A_Zone_040
A041,Deployment_A,Main_Floor_D,A_Zone_041
A042,Deployment_A,Main_Floor_D,A_Zone_042
A043,Deployment_A,Main_Floor_D,A_Zone_043
A044,Deployment_A,Main_Floor_D,A_Zone_044
A045,Deployment_A,Main_Floor_E,A_Zone_045
A046,Deployment_A,Main_Floor_E,A_Zone_046
A047,Deployment_A,Main_Floor_E,A_Zone_047
A048,Deployment_A,Main_Floor_E,A_Zone_048
A049,Deployment_A,Main_Floor_E,A_Zone_049
A050,Deployment_A,Main_Floor_E,A_Zone_050
A051,Deployment_A,Main_Floor_E,A_Zone_051
A052,Deployment_A,Main_Floor_E,A_Zone_052
A053,Deployment_A,Main_Floor_E,A_Zone_053
A054,Deployment_A,Main_Floor_E,A_Zone_054
A055,Deployment_A,Main_Floor_E,A_Zone_055
A056,Deployment_A,Main_Floor_E,A_Zone_056
