sensor_id_public,floor_public,zone_public
S001,Floor_A,Zone_001
S002,Floor_A,Zone_002
S003,Floor_A,Zone_003
S004,Floor_A,Zone_004
S005,Floor_A,Zone_005
S006,Floor_A,Zone_006
S007,Floor_A,Zone_007
S008,Floor_A,Zone_008
S009,Floor_A,Zone_009
S010,Floor_B,Zone_010
S011,Floor_B,Zone_011
S012,Floor_B,Zone_012
S013,Floor_B,Zone_013
S014,Floor_B,Zone_014
S015,Floor_B,Zone_015
S016,Floor_B,Zone_016
S017,Floor_B,Zone_017
S018,Floor_B,Zone_018
S019,Floor_B,Zone_019
S020,Floor_B,Zone_020
S021,Floor_C,Zone_021
S022,Floor_C,Zone_022
S023,Floor_C,Zone_023
S024,Floor_C,Zone_024
S025,Floor_C,Zone_025
S026,Floor_C,Zone_026
S027,Floor_C,Zone_027
S028,Floor_C,Zone_028
S029,Floor_C,Zone_029
S030,Floor_C,Zone_030
S031,Floor_C,Zone_031
S032,Floor_D,Zone_032
S033,Floor_D,Zone_033
S034,Floor_D,Zone_034
S035,Floor_D,Zone_035
S036,Floor_D,Zone_036
S037,Floor_D,Zone_037
S038,Floor_D,Zone_038
S039,Floor_D,Zone_039
S040,Floor_D,Zone_040
S041,Floor_D,Zone_041
S042,Floor_D,Zone_042
S043,Floor_D,Zone_043
S044,Floor_D,Zone_044
S045,Floor_E,Zone_045
S046,Floor_E,Zone_046
S047,Floor_E,Zone_047
S048,Floor_E,Zone_048
S049,Floor_E,Zone_049
S050,Floor_E,Zone_050
S051,Floor_E,Zone_051
S052,Floor_E,Zone_052
S053,Floor_E,Zone_053
S054,Floor_E,Zone_054
S055,Floor_E,Zone_055
S056,Floor_E,Zone_056
