sensor_id,company_id,floor,zone_type,community_id,degree,weighted_degree,betweenness,closeness,eigenvector_centrality_if_available
S001,HQ_Anonymized,Floor_A,unknown,1,48,48.74704704621725,,,
S002,HQ_Anonymized,Floor_A,unknown,1,15,44.17006298082979,,,
S003,HQ_Anonymized,Floor_A,unknown,1,45,48.46846633067045,,,
S004,HQ_Anonymized,Floor_A,unknown,1,46,48.46521350319556,,,
S005,HQ_Anonymized,Floor_A,unknown,1,42,47.24402208438708,,,
S006,HQ_Anonymized,Floor_A,unknown,1,46,48.60051046737275,,,
S007,HQ_Anonymized,Floor_A,unknown,1,49,49.38077180225902,,,
S008,HQ_Anonymized,Floor_A,unknown,1,49,49.75794312066356,,,
S009,HQ_Anonymized,Floor_A,unknown,1,48,49.37743938234642,,,
S010,HQ_Anonymized,Floor_B,unknown,1,40,46.796431902748175,,,
S011,HQ_Anonymized,Floor_B,unknown,1,1,40.109633024096894,,,
S012,HQ_Anonymized,Floor_B,unknown,2,0,39.77899368264513,,,
S013,HQ_Anonymized,Floor_B,unknown,1,13,43.67475202303197,,,
S014,HQ_Anonymized,Floor_B,unknown,1,47,48.726023427591954,,,
S015,HQ_Anonymized,Floor_B,unknown,1,46,49.09876835050015,,,
S016,HQ_Anonymized,Floor_B,unknown,1,39,46.68726407000883,,,
S017,HQ_Anonymized,Floor_B,unknown,1,46,49.284331285307935,,,
S018,HQ_Anonymized,Floor_B,unknown,1,44,47.35836781900149,,,
S019,HQ_Anonymized,Floor_B,unknown,1,47,49.02782356035607,,,
S020,HQ_Anonymized,Floor_B,unknown,1,46,49.0027749094583,,,
S021,HQ_Anonymized,Floor_C,unknown,1,42,48.57404198969035,,,
S022,HQ_Anonymized,Floor_C,unknown,1,47,49.25240773334493,,,
S023,HQ_Anonymized,Floor_C,unknown,1,34,46.24751893747754,,,
S024,HQ_Anonymized,Floor_C,unknown,1,38,46.920894422164594,,,
S025,HQ_Anonymized,Floor_C,unknown,1,50,49.74560757445883,,,
S026,HQ_Anonymized,Floor_C,unknown,1,48,49.73186815845993,,,
S027,HQ_Anonymized,Floor_C,unknown,1,49,49.99594191217154,,,
S028,HQ_Anonymized,Floor_C,unknown,1,49,49.41065541060166,,,
S029,HQ_Anonymized,Floor_C,unknown,1,44,48.83440907254965,,,
S030,HQ_Anonymized,Floor_C,unknown,1,42,47.8602444507003,,,
S031,HQ_Anonymized,Floor_C,unknown,1,43,48.8428105885904,,,
S032,HQ_Anonymized,Floor_D,unknown,1,46,48.24836646800109,,,
S033,HQ_Anonymized,Floor_D,unknown,1,20,44.71320265676766,,,
S034,HQ_Anonymized,Floor_D,unknown,1,45,47.434840669313104,,,
S035,HQ_Anonymized,Floor_D,unknown,1,47,48.04593430665988,,,
S036,HQ_Anonymized,Floor_D,unknown,1,48,48.781657509046696,,,
S037,HQ_Anonymized,Floor_D,unknown,1,50,49.91300784563694,,,
S038,HQ_Anonymized,Floor_D,unknown,1,49,49.50965362023962,,,
S039,HQ_Anonymized,Floor_D,unknown,1,23,44.53171922976884,,,
S040,HQ_Anonymized,Floor_D,unknown,1,50,49.93722046762608,,,
S041,HQ_Anonymized,Floor_D,unknown,1,32,45.446417106346345,,,
S042,HQ_Anonymized,Floor_D,unknown,3,0,7.595733037526092,,,
S043,HQ_Anonymized,Floor_D,unknown,1,5,42.99448806867485,,,
S044,HQ_Anonymized,Floor_D,unknown,1,47,49.17253203348091,,,
S045,HQ_Anonymized,Floor_E,unknown,1,50,50.30270021678858,,,
S046,HQ_Anonymized,Floor_E,unknown,1,47,49.2553823979266,,,
S047,HQ_Anonymized,Floor_E,unknown,1,44,47.679322632678456,,,
S048,HQ_Anonymized,Floor_E,unknown,1,40,47.21319766317562,,,
S049,HQ_Anonymized,Floor_E,unknown,1,46,48.846708863898016,,,
S050,HQ_Anonymized,Floor_E,unknown,1,28,45.16022176131508,,,
S051,HQ_Anonymized,Floor_E,unknown,1,46,49.14008023123924,,,
S052,HQ_Anonymized,Floor_E,unknown,1,46,49.06613348262769,,,
S053,HQ_Anonymized,Floor_E,unknown,4,0,29.317260224735367,,,
S054,HQ_Anonymized,Floor_E,unknown,1,48,48.66340614497968,,,
S055,HQ_Anonymized,Floor_E,unknown,1,48,49.318372998927344,,,
S056,HQ_Anonymized,Floor_E,unknown,1,48,49.84798238825954,,,
