sensor_id,company_id,floor,zone_type,community_id,degree,weighted_degree,betweenness,closeness,eigenvector_centrality_if_available
A001,Deployment_A,Main_Floor_A,unknown,1,48,48.74704704621725,,,
A002,Deployment_A,Main_Floor_A,unknown,1,15,44.17006298082979,,,
A003,Deployment_A,Main_Floor_A,unknown,1,45,48.46846633067045,,,
A004,Deployment_A,Main_Floor_A,unknown,1,46,48.46521350319556,,,
A005,Deployment_A,Main_Floor_A,unknown,1,42,47.24402208438708,,,
A006,Deployment_A,Main_Floor_A,unknown,1,46,48.60051046737275,,,
A007,Deployment_A,Main_Floor_A,unknown,1,49,49.38077180225902,,,
A008,Deployment_A,Main_Floor_A,unknown,1,49,49.75794312066356,,,
A009,Deployment_A,Main_Floor_A,unknown,1,48,49.37743938234642,,,
A010,Deployment_A,Main_Floor_B,unknown,1,40,46.796431902748175,,,
A011,Deployment_A,Main_Floor_B,unknown,1,1,40.109633024096894,,,
A012,Deployment_A,Main_Floor_B,unknown,2,0,39.77899368264513,,,
A013,Deployment_A,Main_Floor_B,unknown,1,13,43.67475202303197,,,
A014,Deployment_A,Main_Floor_B,unknown,1,47,48.726023427591954,,,
A015,Deployment_A,Main_Floor_B,unknown,1,46,49.09876835050015,,,
A016,Deployment_A,Main_Floor_B,unknown,1,39,46.68726407000883,,,
A017,Deployment_A,Main_Floor_B,unknown,1,46,49.284331285307935,,,
A018,Deployment_A,Main_Floor_B,unknown,1,44,47.35836781900149,,,
A019,Deployment_A,Main_Floor_B,unknown,1,47,49.02782356035607,,,
A020,Deployment_A,Main_Floor_B,unknown,1,46,49.0027749094583,,,
A021,Deployment_A,Main_Floor_C,unknown,1,42,48.57404198969035,,,
A022,Deployment_A,Main_Floor_C,unknown,1,47,49.25240773334493,,,
A023,Deployment_A,Main_Floor_C,unknown,1,34,46.24751893747754,,,
A024,Deployment_A,Main_Floor_C,unknown,1,38,46.920894422164594,,,
A025,Deployment_A,Main_Floor_C,unknown,1,50,49.74560757445883,,,
A026,Deployment_A,Main_Floor_C,unknown,1,48,49.73186815845993,,,
A027,Deployment_A,Main_Floor_C,unknown,1,49,49.99594191217154,,,
A028,Deployment_A,Main_Floor_C,unknown,1,49,49.41065541060166,,,
A029,Deployment_A,Main_Floor_C,unknown,1,44,48.83440907254965,,,
A030,Deployment_A,Main_Floor_C,unknown,1,42,47.8602444507003,,,
A031,Deployment_A,Main_Floor_C,unknown,1,43,48.8428105885904,,,
A032,Deployment_A,Main_Floor_D,unknown,1,46,48.24836646800109,,,
A033,Deployment_A,Main_Floor_D,unknown,1,20,44.71320265676766,,,
A034,Deployment_A,Main_Floor_D,unknown,1,45,47.434840669313104,,,
A035,Deployment_A,Main_Floor_D,unknown,1,47,48.04593430665988,,,
A036,Deployment_A,Main_Floor_D,unknown,1,48,48.781657509046696,,,
A037,Deployment_A,Main_Floor_D,unknown,1,50,49.91300784563694,,,
A038,Deployment_A,Main_Floor_D,unknown,1,49,49.50965362023962,,,
A039,Deployment_A,Main_Floor_D,unknown,1,23,44.53171922976884,,,
A040,Deployment_A,Main_Floor_D,unknown,1,50,49.93722046762608,,,
A041,Deployment_A,Main_Floor_D,unknown,1,32,45.446417106346345,,,
A042,Deployment_A,Main_Floor_D,unknown,3,0,7.595733037526092,,,
A043,Deployment_A,Main_Floor_D,unknown,1,5,42.99448806867485,,,
A044,Deployment_A,Main_Floor_D,unknown,1,47,49.17253203348091,,,
A045,Deployment_A,Main_Floor_E,unknown,1,50,50.30270021678858,,,
A046,Deployment_A,Main_Floor_E,unknown,1,47,49.2553823979266,,,
A047,Deployment_A,Main_Floor_E,unknown,1,44,47.679322632678456,,,
A048,Deployment_A,Main_Floor_E,unknown,1,40,47.21319766317562,,,
A049,Deployment_A,Main_Floor_E,unknown,1,46,48.846708863898016,,,
A050,Deployment_A,Main_Floor_E,unknown,1,28,45.16022176131508,,,
A051,Deployment_A,Main_Floor_E,unknown,1,46,49.14008023123924,,,
A052,Deployment_A,Main_Floor_E,unknown,1,46,49.06613348262769,,,
A053,Deployment_A,Main_Floor_E,unknown,4,0,29.317260224735367,,,
A054,Deployment_A,Main_Floor_E,unknown,1,48,48.66340614497968,,,
A055,Deployment_A,Main_Floor_E,unknown,1,48,49.318372998927344,,,
A056,Deployment_A,Main_Floor_E,unknown,1,48,49.84798238825954,,,
