building,quiet_threshold_db,high_threshold_db,n_sensors,score_sd,rank_correlation_with_50_70
Deployment_A,45,60,56,0.1298827227267356,0.7923048163386731
Deployment_A,45,65,56,0.1499845555117629,0.8082037301082817
Deployment_A,45,70,56,0.1188811687421208,0.8413794283232084
Deployment_A,50,60,56,0.1614898496299906,0.7941407834868766
Deployment_A,50,65,56,0.1694005675901296,0.8860175421048061
Deployment_A,50,70,56,0.1302613810046958,0.9999999999999998
Deployment_A,55,60,56,0.1841457989340163,0.564211248907431
Deployment_A,55,65,56,0.1802957379824945,0.6871026248683876
Deployment_A,55,70,56,0.1327032444884238,0.787861702129731
Deployment_A,45,60,13,0.0977169949963214,0.5991735537190083
Deployment_A,45,65,13,0.135609430702563,0.8753596943917166
Deployment_A,45,70,13,0.1210805262094631,1.0
Deployment_A,50,60,13,0.0977169949963214,0.5991735537190083
Deployment_A,50,65,13,0.135609430702563,0.8753596943917166
Deployment_A,50,70,13,0.1210805262094631,1.0
Deployment_A,55,60,13,0.0977169949963214,0.5991735537190083
Deployment_A,55,65,13,0.135609430702563,0.8753596943917166
Deployment_A,55,70,13,0.1210805262094631,1.0
