sensor_id,company_id,floor,x,y,zone_type,approx_people
A019,Deployment_A,Main_Floor_B,0.43,0.84,unknown,16
A011,Deployment_A,Main_Floor_B,0.58,0.84,unknown,16
A010,Deployment_A,Main_Floor_B,0.72,0.84,unknown,16
A020,Deployment_A,Main_Floor_B,0.84,0.84,unknown,16
A014,Deployment_A,Main_Floor_B,0.72,0.47,unknown,16
A012,Deployment_A,Main_Floor_B,0.43,0.47,unknown,16
A018,Deployment_A,Main_Floor_B,0.09,0.15,unknown,16
A017,Deployment_A,Main_Floor_B,0.43,0.15,unknown,16
A015,Deployment_A,Main_Floor_B,0.58,0.15,unknown,16
A016,Deployment_A,Main_Floor_B,0.72,0.15,unknown,16
A013,Deployment_A,Main_Floor_B,0.86,0.15,unknown,16
A026,Deployment_A,Main_Floor_C,0.43,0.84,unknown,16
A027,Deployment_A,Main_Floor_C,0.58,0.84,unknown,16
A028,Deployment_A,Main_Floor_C,0.72,0.84,unknown,16
A021,Deployment_A,Main_Floor_C,0.85,0.47,unknown,16
A022,Deployment_A,Main_Floor_C,0.72,0.47,unknown,16
A023,Deployment_A,Main_Floor_C,0.43,0.47,unknown,16
A024,Deployment_A,Main_Floor_C,0.85,0.15,unknown,16
A029,Deployment_A,Main_Floor_C,0.58,0.15,unknown,16
A030,Deployment_A,Main_Floor_C,0.43,0.15,unknown,16
A031,Deployment_A,Main_Floor_C,0.09,0.15,unknown,16
A025,Deployment_A,Main_Floor_C,0.85,0.84,unknown,16
A036,Deployment_A,Main_Floor_D,0.33,0.88,unknown,16
A038,Deployment_A,Main_Floor_D,0.49,0.88,unknown,16
A039,Deployment_A,Main_Floor_D,0.62,0.88,unknown,16
A033,Deployment_A,Main_Floor_D,0.76,0.88,unknown,16
A032,Deployment_A,Main_Floor_D,0.69,0.52,unknown,16
A034,Deployment_A,Main_Floor_D,0.9,0.12,unknown,16
A035,Deployment_A,Main_Floor_D,0.77,0.12,unknown,16
A040,Deployment_A,Main_Floor_D,0.32,0.49,unknown,16
A044,Deployment_A,Main_Floor_D,0.48,0.49,unknown,16
A037,Deployment_A,Main_Floor_D,0.62,0.49,unknown,16
A043,Deployment_A,Main_Floor_D,0.48,0.12,unknown,16
A042,Deployment_A,Main_Floor_D,0.32,0.12,unknown,16
A041,Deployment_A,Main_Floor_D,0.19,0.12,unknown,16
A053,Deployment_A,Main_Floor_E,0.18,0.86,unknown,16
A050,Deployment_A,Main_Floor_E,0.31,0.86,unknown,16
A054,Deployment_A,Main_Floor_E,0.44,0.86,unknown,16
A055,Deployment_A,Main_Floor_E,0.73,0.86,unknown,16
A046,Deployment_A,Main_Floor_E,0.43,0.47,unknown,16
A056,Deployment_A,Main_Floor_E,0.72,0.47,unknown,16
A045,Deployment_A,Main_Floor_E,0.85,0.47,unknown,16
A051,Deployment_A,Main_Floor_E,0.9,0.15,unknown,16
A052,Deployment_A,Main_Floor_E,0.72,0.15,unknown,16
A047,Deployment_A,Main_Floor_E,0.58,0.15,unknown,16
A049,Deployment_A,Main_Floor_E,0.44,0.15,unknown,16
A048,Deployment_A,Main_Floor_E,0.31,0.15,unknown,16
A007,Deployment_A,Main_Floor_A,0.32,0.84,unknown,16
A008,Deployment_A,Main_Floor_A,0.47,0.84,unknown,16
A009,Deployment_A,Main_Floor_A,0.62,0.84,unknown,16
A001,Deployment_A,Main_Floor_A,0.74,0.84,unknown,16
A002,Deployment_A,Main_Floor_A,0.84,0.84,unknown,16
A006,Deployment_A,Main_Floor_A,0.81,0.43,unknown,16
A005,Deployment_A,Main_Floor_A,0.94,0.12,unknown,16
A003,Deployment_A,Main_Floor_A,0.82,0.12,unknown,16
A004,Deployment_A,Main_Floor_A,0.39,0.38,unknown,16
