sensor_id,active_minutes,mean_db,median_db,std_db,min_db,max_db,p05_db,p10_db,p25_db,p75_db,p90_db,p95_db,high_exposure_share_60,high_exposure_share_65,high_exposure_share_70,quiet_share_45,quiet_share_50,quiet_share_55,iqr_db,range_db,floor,company_id,zone_type,approx_people,x,y,burst_rate_per_hour,burstiness_index,exposure_variability_index,day_night_difference_db,weekday_weekend_difference_db,profile_stability_score
A001,43125,62.0710984115942,55.275,10.2725266715906,51.967,85.891,52.923,53.242,53.978,74.289,77.3504,79.571,0.361368115942029,0.342863768115942,0.337831884057971,0.0,0.0,0.4663188405797101,20.311,33.92400000000001,Main_Floor_A,Deployment_A,unknown,16,0.74,0.84,,,0.9017857142857144,13.531631541666655,-3.5664804531142096,0.9007012212394642
A002,40269,60.870441555539,57.857,6.230091438611335,51.817,85.187,54.022,54.615,56.022,66.565,70.56,72.165,0.3943480096352033,0.2866224639300703,0.1224763465693213,0.0,0.0,0.1365318234870496,10.543,33.37,Main_Floor_A,Deployment_A,unknown,16,0.84,0.84,,,0.6041666666666666,10.201959416167972,-1.3042102063410326,0.980850306922834
A003,41838,55.345772049333135,53.099,8.268290725847912,42.956,86.604,45.099,45.901,48.109,63.604,67.308,69.033,0.3359864238252306,0.1953487260385295,0.032625842535494,0.0441225680003824,0.3713370620010516,0.5737845977341173,15.494999999999996,43.648,Main_Floor_A,Deployment_A,unknown,16,0.82,0.12,,,0.4761904761904762,13.527895708812268,-2.806877218688001,0.9619120788052488
A004,43125,56.29050627246377,53.692,7.062512825975333,42.692,80.462,47.6524,48.565,50.297,63.791,66.22,67.50399999999998,0.3628985507246376,0.1724289855072464,0.0079768115942028,0.0009739130434782,0.2194086956521739,0.5628985507246377,13.494,37.77,Main_Floor_A,Deployment_A,unknown,16,0.39,0.38,,,0.3511904761904762,9.897039796296298,-2.310505157229862,0.9678622508137896
A005,12468,60.34840704202759,60.150000000000006,7.04348301899303,48.865,80.923,50.632,51.1104,52.75,66.75750000000001,69.038,70.333,0.5076195059351941,0.3663779274943856,0.0614372794353545,0.0,0.0121912094963105,0.3333333333333333,14.007500000000007,32.058,Main_Floor_A,Deployment_A,unknown,16,0.94,0.12,,,0.494047619047619,10.941597857882812,-2.4676184178010274,0.9249015383922264
A006,43096,58.88550884072768,55.3145,8.114627920120343,48.044,83.848,50.337,51.055,53.011,65.087,71.484,74.663,0.3188927046593651,0.2507425283088917,0.1612214590681269,0.0,0.0316966771858177,0.4777705587525524,12.076,35.804,Main_Floor_A,Deployment_A,unknown,16,0.81,0.43,,,0.6011904761904762,12.375240253678191,-3.3821340860435853,0.9629432913770536
A007,43125,57.58806592463768,54.826,6.8948569881682245,45.187,78.264,49.337,50.341,52.359,64.234,68.31739999999999,69.75,0.3276289855072464,0.2287304347826086,0.0434550724637681,0.0,0.082759420289855,0.5134144927536232,11.874999999999991,33.077,Main_Floor_A,Deployment_A,unknown,16,0.32,0.84,,,0.4523809523809523,10.684572277777782,-2.9549103367999336,0.9828621482169162
A008,43125,61.0593059942029,57.609,6.486181205269228,51.681,82.165,54.659,55.26520000000001,56.297,68.078,71.4282,72.783,0.3528579710144927,0.3009623188405797,0.1708289855072463,0.0,0.0,0.0756869565217391,11.781000000000006,30.48400000000001,Main_Floor_A,Deployment_A,unknown,16,0.47,0.84,,,0.6815476190476191,9.12831112962963,-2.293144870455073,0.9765510762377168
A009,40270,61.44559113483983,58.571,5.681019709336432,53.013,85.187,55.934,56.495,57.293,66.011,70.85719999999999,72.462,0.3824186739508319,0.2785199900670474,0.1308418177303203,0.0,0.0,0.0091383163645393,8.717999999999996,32.174,Main_Floor_A,Deployment_A,unknown,16,0.62,0.84,,,0.5625,8.215928000618867,-2.2972443432906644,0.979580628113537
A010,14819,55.20956839192928,53.061,6.858241379383341,46.0,78.667,47.0,47.5,48.933,60.5,65.625,67.16,0.2639179431810513,0.1251771374586679,0.0075578649031648,0.0,0.3257304811390782,0.5456508536338485,11.567,32.667,Main_Floor_B,Deployment_A,unknown,16,0.72,0.84,,,0.3095238095238095,12.008421995497166,-1.7649923771229863,0.9258945939309956
A011,40269,54.48129275621445,53.087,6.450296182340415,45.815,74.489,46.934,47.293,48.245,60.264,64.06880000000004,65.604,0.2576423551615386,0.0676202537932404,0.0017879758623258,0.0,0.3610469591993841,0.5815639822195734,12.019000000000004,28.674000000000007,Main_Floor_B,Deployment_A,unknown,16,0.58,0.84,,,0.244047619047619,10.824009413186609,-2.2221285031802367,0.952179216578248
