sensor_a,sensor_b,mean_db_a,mean_db_b,mean_diff_db,evi_a,evi_b,evi_diff,quiet_share_50_a,quiet_share_50_b,quiet_share_50_diff,high_share_70_a,high_share_70_b,high_share_70_diff,dynamics_difference_score
A001,A013,62.0710984115942,61.304272742028985,0.7668256695652147,0.9017857142857144,0.3660714285714286,0.5357142857142858,0.0,0.0,0.0,0.337831884057971,0.0122666666666666,0.3255652173913044,0.8612795031055902
A015,A055,60.66168377705421,61.65474634275025,0.993062565696043,0.2886904761904762,0.8839285714285715,0.5952380952380953,0.0,0.0,0.0,0.0048841218157441,0.2679265192575183,0.2630423974417742,0.8582804926798695
A013,A055,61.304272742028985,61.65474634275025,0.3504736007212656,0.3660714285714286,0.8839285714285715,0.5178571428571429,0.0,0.0,0.0,0.0122666666666666,0.2679265192575183,0.2556598525908517,0.7735169954479946
A015,A052,60.66168377705421,61.56214360216055,0.9004598251063456,0.2886904761904762,0.8065476190476191,0.5178571428571428,0.0,0.0,0.0,0.0048841218157441,0.2357981002048798,0.2309139783891357,0.7487711212462784
A001,A018,62.0710984115942,62.81719664967225,0.7460982380780479,0.9017857142857144,0.4285714285714285,0.4732142857142859,0.0,0.0001213886865744,0.0001213886865744,0.337831884057971,0.0816945860645787,0.2561372979933923,0.7294729723942526
A021,A055,60.72860730943265,61.65474634275025,0.9261390333176038,0.4196428571428572,0.8839285714285715,0.4642857142857143,0.0,0.0,0.0,0.0303747534516765,0.2679265192575183,0.2375517658058418,0.7018374800915561
A015,A037,60.66168377705421,61.082927443478255,0.4212436664240471,0.2886904761904762,0.7708333333333334,0.4821428571428571,0.0,0.0,0.0,0.0048841218157441,0.2046144927536232,0.1997303709378791,0.6818732280807362
A013,A052,61.304272742028985,61.56214360216055,0.2578708601315682,0.3660714285714286,0.8065476190476191,0.4404761904761904,0.0,0.0,0.0,0.0122666666666666,0.2357981002048798,0.2235314335382132,0.6640076240144037
A015,A051,60.66168377705421,60.280962755114274,0.3807210219399337,0.2886904761904762,0.7767857142857143,0.4880952380952381,0.0,0.0,0.0,0.0048841218157441,0.1804686188454805,0.1755844970297363,0.6636797351249745
A015,A036,60.66168377705421,60.74527452753624,0.0835907504820312,0.2886904761904762,0.7589285714285715,0.4702380952380953,0.0,0.0,0.0,0.0048841218157441,0.1958028985507246,0.1909187767349805,0.6611568719730758
A017,A055,60.73722337391304,61.65474634275025,0.9175229688372112,0.4672619047619048,0.8839285714285715,0.4166666666666667,0.0,0.0,0.0,0.038631884057971,0.2679265192575183,0.2292946351995473,0.645961301866214
A023,A027,55.4793691826087,55.68530523727792,0.2059360546692232,0.4761904761904761,0.3095238095238095,0.1666666666666666,0.4388869565217391,0.0065407988124507,0.4323461577092884,0.0540289855072463,0.009138562879807,0.0448904226274393,0.6439032470033943
A028,A051,59.78219524637681,60.280962755114274,0.4987675087374654,0.3363095238095238,0.7767857142857143,0.4404761904761905,0.0,0.0,0.0,0.008927536231884,0.1804686188454805,0.1715410826135965,0.612017273089787
A028,A036,59.78219524637681,60.74527452753624,0.9630792811594304,0.3363095238095238,0.7589285714285715,0.4226190476190477,0.0,0.0,0.0,0.008927536231884,0.1958028985507246,0.1868753623188406,0.6094944099378883
A024,A029,59.08508426666667,58.46909203478261,0.6159922318840572,0.318452380952381,0.6964285714285715,0.3779761904761905,0.0,0.0145623188405797,0.0145623188405797,0.0055652173913043,0.2125449275362319,0.2069797101449275,0.5995182194616978
