sensor_a,sensor_b,mean_diff_db,iqr_diff_db,quiet55_diff,high65_diff,high70_diff,substantial_dynamic_difference
A001,A009,0.6255072767543695,11.593000000000004,0.4571805242151708,0.0643437780488945,0.2069900663276506,True
A001,A013,0.7668256695652147,12.893999999999998,0.4663188405797101,0.0754782608695652,0.3255652173913044,True
A001,A018,0.7460982380780479,13.959750000000009,0.2883630260616232,0.0728924834014165,0.2561372979933923,True
A001,A032,0.2469375760219065,10.0745,0.4663188405797101,0.0233838919549512,0.1598752277112217,True
A001,A033,0.8963859478260829,6.680999999999996,0.4660405797101449,0.0389101449275361,0.0728347826086956,True
A001,A037,0.988170968115945,7.507000000000003,0.3136231884057971,0.0315826086956522,0.1332173913043478,True
A001,A043,0.4227753505361207,9.052750000000003,0.4595079623601313,0.0288087341623446,0.1743947887536399,True
A001,A045,0.7103286619630822,13.223000000000006,0.4663188405797101,0.0988887815829303,0.2066985491632477,True
A001,A049,0.8665687111216869,8.320999999999998,0.4165321788600181,0.002937045177439,0.1059192599971232,True
A001,A052,0.5089548094336465,7.253000000000007,0.4067174250460912,0.0565907191310285,0.1020337838530912,True
A001,A054,0.9002203119251533,10.026000000000003,0.3846602478414493,0.0625625546284845,0.1918536596827011,True
A001,A055,0.416352068843949,4.037999999999997,0.1876244187848998,0.032513151779427,0.0699053648004526,True
A002,A005,0.5220345135114144,3.464500000000008,0.1968015098462837,0.0797554635643152,0.0610390671339668,True
A002,A008,0.1888644386638986,1.2380000000000069,0.0608448669653104,0.0143398549105094,0.0483526389379249,False
A002,A009,0.5751495793008274,1.8250000000000028,0.1273935071225103,0.0081024738630228,0.008365471160999,True
A002,A013,0.4338311864899822,3.1259999999999977,0.1365318234870496,0.0192369566836935,0.1102096799026547,True
A002,A015,0.2087577784847951,4.759999999999998,0.1336109271070457,0.1152711902277144,0.1175922247535772,True
A002,A017,0.1332181816259634,2.6809999999999974,0.0947695046464698,0.0535557972634037,0.0838444625113503,False
A002,A021,0.1418342461063559,4.965999999999994,0.1365318234870496,0.0976214197254062,0.0921015931176447,True
A002,A036,0.1251670280027639,1.336000000000004,0.0511087562230953,0.0054586954902194,0.0733265519814033,False
A002,A037,0.2124858879392519,2.260999999999997,0.0161638286868634,0.0246586954902194,0.0821381461843019,False
A002,A041,0.344616836698421,3.230000000000004,0.1346303742116873,0.057312319002534,0.0949517088881619,True
A002,A043,0.7778815055190762,0.7152499999999975,0.1297209452674708,0.0850500383482164,0.0409607487350097,True
A002,A045,0.4903281940921147,3.4550000000000054,0.1365318234870496,0.0426474773970586,0.0086569883254019,True
A002,A051,0.5894788004247289,2.2219999999999924,0.303691693792371,0.0092164155333032,0.0579922722761591,True
A002,A052,0.6917020466215504,2.514999999999993,0.0769304079534307,0.0003494149451568,0.1133217536355584,False
