sensor_a,sensor_b,company_a,company_b,floor_a,floor_b,same_company,same_floor,same_zone_type,same_team,same_open_zone,wall_between,door_between,different_floor,approx_distance,pearson_corr,spearman_corr,mean_abs_difference_db,median_abs_difference_db,std_difference_db,shared_high_exposure_rate,shared_quiet_rate,cross_correlation_max,cross_correlation_lag_min,n_aligned_records,aligned_coverage_ratio
S001,S002,HQ_Anonymized,HQ_Anonymized,Floor_A,Floor_A,True,True,unknown,False,unknown,unknown,unknown,False,0.0999999999999999,0.8645157242644955,0.8125000000000001,3.677017189701929,2.965911111111112,4.120286357146606,0.0,0.0,,,31,1.0
S001,S003,HQ_Anonymized,HQ_Anonymized,Floor_A,Floor_A,True,True,unknown,False,unknown,unknown,unknown,False,0.7244308110509933,0.9299897881495924,0.9185483870967744,7.058691809493812,7.230581944444445,2.864548475756428,0.0,0.0,,,31,1.0
S001,S004,HQ_Anonymized,HQ_Anonymized,Floor_A,Floor_A,True,True,unknown,False,unknown,unknown,unknown,False,0.5780138406647369,0.9256624576208689,0.7870967741935484,5.836151006951401,5.301638888888888,3.081020965860939,0.0,0.0,,,31,1.0
S001,S005,HQ_Anonymized,HQ_Anonymized,Floor_A,Floor_A,True,True,unknown,False,unknown,unknown,unknown,False,0.7472616676907762,0.8979980596180474,0.8774193548387097,3.385387662410372,2.8506805668016213,3.337646535126811,0.0,0.0,,,31,1.0
S001,S006,HQ_Anonymized,HQ_Anonymized,Floor_A,Floor_A,True,True,unknown,False,unknown,unknown,unknown,False,0.4159326868617084,0.906184263855934,0.8447580645161291,3.389238963320351,2.219407638888889,3.240194000594218,0.0,0.0,,,31,1.0
S001,S007,HQ_Anonymized,HQ_Anonymized,Floor_A,Floor_A,True,True,unknown,False,unknown,unknown,unknown,False,0.42,0.9482557582895296,0.9350806451612904,4.516740801359114,4.70686666666667,3.0745195713453293,0.0,0.0,,,31,1.0
S001,S008,HQ_Anonymized,HQ_Anonymized,Floor_A,Floor_A,True,True,unknown,False,unknown,unknown,unknown,False,0.27,0.9633259362629856,0.8697580645161292,2.6900661053785706,2.3019805555555664,3.0871309704291727,0.0,0.0,,,31,1.0
S001,S009,HQ_Anonymized,HQ_Anonymized,Floor_A,Floor_A,True,True,unknown,False,unknown,unknown,unknown,False,0.12,0.9579783122210336,0.8975806451612905,3.032805796110204,2.8241298611111176,3.4393103719042197,0.0,0.0,,,31,1.0
S001,S010,HQ_Anonymized,HQ_Anonymized,Floor_A,Floor_B,True,False,unknown,False,unknown,unknown,unknown,True,0.02,0.8935363008638709,0.7959677419354839,6.59399406732495,6.395273782557503,3.797617279266104,0.0,0.0,,,31,1.0
S001,S011,HQ_Anonymized,HQ_Anonymized,Floor_A,Floor_B,True,False,unknown,False,unknown,unknown,unknown,True,0.16,0.7361053627579459,0.5995967741935484,7.865267553288962,7.007606944444454,4.672233495577474,0.0,0.0,,,31,1.0
