sensor_id,company_id,floor,x,y,zone_type,approx_people
S019,HQ_Anonymized,Floor_B,0.43,0.84,unknown,16
S011,HQ_Anonymized,Floor_B,0.58,0.84,unknown,16
S010,HQ_Anonymized,Floor_B,0.72,0.84,unknown,16
S020,HQ_Anonymized,Floor_B,0.84,0.84,unknown,16
S014,HQ_Anonymized,Floor_B,0.72,0.47,unknown,16
S012,HQ_Anonymized,Floor_B,0.43,0.47,unknown,16
S018,HQ_Anonymized,Floor_B,0.09,0.15,unknown,16
S017,HQ_Anonymized,Floor_B,0.43,0.15,unknown,16
S015,HQ_Anonymized,Floor_B,0.58,0.15,unknown,16
S016,HQ_Anonymized,Floor_B,0.72,0.15,unknown,16
S013,HQ_Anonymized,Floor_B,0.86,0.15,unknown,16
S026,HQ_Anonymized,Floor_C,0.43,0.84,unknown,16
S027,HQ_Anonymized,Floor_C,0.58,0.84,unknown,16
S028,HQ_Anonymized,Floor_C,0.72,0.84,unknown,16
S021,HQ_Anonymized,Floor_C,0.85,0.47,unknown,16
S022,HQ_Anonymized,Floor_C,0.72,0.47,unknown,16
S023,HQ_Anonymized,Floor_C,0.43,0.47,unknown,16
S024,HQ_Anonymized,Floor_C,0.85,0.15,unknown,16
S029,HQ_Anonymized,Floor_C,0.58,0.15,unknown,16
S030,HQ_Anonymized,Floor_C,0.43,0.15,unknown,16
S031,HQ_Anonymized,Floor_C,0.09,0.15,unknown,16
S025,HQ_Anonymized,Floor_C,0.85,0.84,unknown,16
S036,HQ_Anonymized,Floor_D,0.33,0.88,unknown,16
S038,HQ_Anonymized,Floor_D,0.49,0.88,unknown,16
S039,HQ_Anonymized,Floor_D,0.62,0.88,unknown,16
S033,HQ_Anonymized,Floor_D,0.76,0.88,unknown,16
S032,HQ_Anonymized,Floor_D,0.69,0.52,unknown,16
S034,HQ_Anonymized,Floor_D,0.9,0.12,unknown,16
S035,HQ_Anonymized,Floor_D,0.77,0.12,unknown,16
S040,HQ_Anonymized,Floor_D,0.32,0.49,unknown,16
S044,HQ_Anonymized,Floor_D,0.48,0.49,unknown,16
S037,HQ_Anonymized,Floor_D,0.62,0.49,unknown,16
S043,HQ_Anonymized,Floor_D,0.48,0.12,unknown,16
S042,HQ_Anonymized,Floor_D,0.32,0.12,unknown,16
S041,HQ_Anonymized,Floor_D,0.19,0.12,unknown,16
S053,HQ_Anonymized,Floor_E,0.18,0.86,unknown,16
S050,HQ_Anonymized,Floor_E,0.31,0.86,unknown,16
S054,HQ_Anonymized,Floor_E,0.44,0.86,unknown,16
S055,HQ_Anonymized,Floor_E,0.73,0.86,unknown,16
S046,HQ_Anonymized,Floor_E,0.43,0.47,unknown,16
S056,HQ_Anonymized,Floor_E,0.72,0.47,unknown,16
S045,HQ_Anonymized,Floor_E,0.85,0.47,unknown,16
S051,HQ_Anonymized,Floor_E,0.9,0.15,unknown,16
S052,HQ_Anonymized,Floor_E,0.72,0.15,unknown,16
S047,HQ_Anonymized,Floor_E,0.58,0.15,unknown,16
S049,HQ_Anonymized,Floor_E,0.44,0.15,unknown,16
S048,HQ_Anonymized,Floor_E,0.31,0.15,unknown,16
S007,HQ_Anonymized,Floor_A,0.32,0.84,unknown,16
S008,HQ_Anonymized,Floor_A,0.47,0.84,unknown,16
S009,HQ_Anonymized,Floor_A,0.62,0.84,unknown,16
S001,HQ_Anonymized,Floor_A,0.74,0.84,unknown,16
S002,HQ_Anonymized,Floor_A,0.84,0.84,unknown,16
S006,HQ_Anonymized,Floor_A,0.81,0.43,unknown,16
S005,HQ_Anonymized,Floor_A,0.94,0.12,unknown,16
S003,HQ_Anonymized,Floor_A,0.82,0.12,unknown,16
S004,HQ_Anonymized,Floor_A,0.39,0.38,unknown,16
